4.1.1.16. Alkohol okozta mentális és viselkedészavar miatt egészségügyi járóbeteg szakellátásban részesülõk;;;;;;;;;;;;;
Év;Járóbeteg szakellátásban részesülõk közül 19 éves vagy annál fiatalabb;Járóbeteg szakellátásban részesülõk közül 20–34 éves;Járóbeteg szakellátásban részesülõk közül 35–54 éves;Járóbeteg szakellátásban részesülõk közül 55–64 éves;Járóbeteg szakellátásban részesülõk közül 65 éves vagy annál idõsebb;Járóbeteg szakellátásban részesülõk összesen;Ebbõl: elsõ alkalommal járóbeteg szakellátásban részesülõk közül 19 éves vagy annál fiatalabb;Ebbõl: elsõ alkalommal járóbeteg szakellátásban részesülõk közül 20–34 éves;Ebbõl: elsõ alkalommal járóbeteg szakellátásban részesülõk közül 35–54 éves;Ebbõl: elsõ alkalommal járóbeteg szakellátásban részesülõk közül 55–64 éves;Ebbõl: elsõ alkalommal járóbeteg szakellátásban részesülõk közül 65 éves vagy annál idõsebb;Ebbõl: elsõ alkalommal járóbeteg szakellátásban részesülõk összesen;Az alkoholisták becsült száma, ezer fõ
Férfi;;;;;;;;;;;;;
2015; 85 ; 1 549 ; 7 960 ; 4 736 ; 2 057 ; 16 387 ; 77 ; 854 ; 2 530 ; 1 322 ; 683 ; 5 466 ; 297 
2016; 75 ; 1 466 ; 7 938 ; 4 678 ; 2 229 ; 16 386 ; 67 ; 777 ; 2 591 ; 1 369 ; 830 ; 5 634 ; 284 
2017; 58 ; 1 515 ; 7 496 ; 4 621 ; 2 318 ; 16 008 ; 50 ; 827 ; 2 460 ; 1 451 ; 859 ; 5 647 ; 282 
2018; 56 ; 1 579 ; 7 472 ; 4 452 ; 2 466 ; 16 025 ; 55 ; 862 ; 2 510 ; 1 394 ; 896 ; 5 717 ; 299 
2019; 52 ; 1 544 ; 7 477 ; 4 131 ; 2 615 ; 15 819 ; 51 ; 835 ; 2 548 ; 1 284 ; 922 ; 5 640 ; 293 
2020; 57 ; 1 368 ; 6 232 ; 3 399 ; 2 403 ; 13 459 ; 54 ; 707 ; 2 031 ; 983 ; 773 ; 4 548 ; 302 
2021; 37 ; 1 210 ; 5 932 ; 3 057 ; 2 175 ; 12 411 ; 30 ; 612 ; 2 062 ; 1 028 ; 790 ; 4 522 ; 314 
2022; 46 ; 1 407 ; 6 468 ; 3 255 ; 2 450 ; 13 626 ; 42 ; 776 ; 2 380 ; 1 144 ; 938 ; 5 280 ; 323 
2023; 38 ; 1 423 ; 6 629 ; 3 255 ; 2 577 ; 13 922 ; 36 ; 748 ; 2 349 ; 1 133 ; 1 033 ; 5 299 ; 260 
