4.1.1.51. Ittasan okozott személysérüléses közúti közlekedési balesetek [eset];;;;;;;;;;;
Év;Jármûvezetõk;Ebbõl: motorkerékpár;Ebbõl: személygépkocsi;Ebbõl: kerékpár;Ebbõl: segédmotoros kerékpár;Ebbõl: elektromos rásegítésû kerékpár;Ebbõl: motoros roller;Ebbõl: egyéb jármû;Gyalogos;Utas és egyéb személy;Összesen
2001;1 928;65;1 104;419;192;..;..;148;208;2;2 138
2002;2 209;87;1 380;426;193;..;..;123;226;5;2 440
2003;2 239;77;1 457;385;181;..;..;139;209;2;2 450
2004;2 666;110;1 700;465;217;..;..;174;240;3;2 909
2005;2 378;84;1 545;434;195;..;..;120;202;3;2 583
2006;2 553;92;1 675;380;234;..;..;172;215;5;2 773
2007;2 656;100;1 702;455;270;..;..;129;195;4;2 855
2008;2 177;103;1 292;423;246;..;..;113;164;1;2 342
2009;2 130;99;1 201;468;240;..;..;122;141;3;2 274
2010;1 768;69;897;480;214;..;..;108;111;4;1 883
2011;1 551;62;832;373;188;..;..;96;92;2;1 645
2012;1 644;71;834;441;184;..;..;114;52;2;1 698
2013;1 609;72;798;459;173;..;..;107;51;2;1 662
2014;1 546;57;820;405;157;..;..;107;54;1;1 601
2015;1 528;72;845;381;136;..;..;94;49;–;1 577
2016;1 537;49;866;370;155;..;..;97;55;–;1 592
2017;1 349;51;802;308;116;..;..;72;52;1;1 402
2018;1 387;48;796;326;142;..;..;75;55;–;1 442
2019;1 353;47;786;307;146;..;..;67;42;1;1 396
2020;1 318;46;784;289;119;..;..;80;43;–;1 361
2021;1 205;33;781;227;90;..;..;74;19;–;1 224
2022;1 170;36;765;187;96;..;..;86;24;1;1 195
2023;1 022;43;672;130;89;..;..;88;18;–;1 040
2024;833;41;580;26;66;10;59;51;11;–;844
