4.1.1.49. Személysérüléses közúti közlekedési balesetek az okozók szerint [eset];;;;;;;;;;;;
Év;Személyszállító jármûvek;Ebbõl: motorkerékpár;Ebbõl: személygépkocsi;Ebbõl: kerékpár;Ebbõl: segédmotoros kerékpár;Ebbõl: elektromos rásegítésû kerékpár;Ebbõl: motoros roller;Ebbõl: egyéb személyszállító jármû;Teherszállító jármûvek;Gyalogosok;Egyéb balesetek;Összesen
2001;14 279;495;10 744;1 987;834;..;..;219;2 027;2 031;168;18 505
2002;15 532;595;11 989;1 941;776;..;..;231;1 816;2 001;326;19 686
2003;15 985;608;12 494;1 868;789;..;..;226;1 787;1 885;299;19 976
2004;16 821;747;13 197;1 886;770;..;..;221;1 980;1 820;336;20 957
2005;16 860;875;13 192;1 796;796;..;..;201;1 920;1 677;320;20 777
2006;17 075;875;13 365;1 712;901;..;..;222;1 987;1 587;328;20 977
2007;16 914;869;13 142;1 776;937;..;..;190;1 845;1 559;317;20 635
2008;15 751;833;12 112;1 752;843;..;..;211;1 708;1 390;325;19 174
2009;14 899;742;11 203;1 829;921;..;..;204;1 541;1 104;320;17 864
2010;13 466;571;10 051;1 832;790;..;..;222;1 569;1 003;270;16 308
2011;13 037;668;9 527;1 814;829;..;..;199;1 517;961;312;15 827
2012;12 430;681;8 752;1 970;808;..;..;219;1 452;940;352;15 174
2013;12 894;658;9 234;2 004;764;..;..;234;1 476;981;340;15 691
2014;13 070;597;9 672;1 872;731;..;..;198;1 566;941;270;15 847
2015;13 527;638;10 203;1 810;684;..;..;192;1 616;909;279;16 331
2016;13 890;639;10 606;1 778;655;..;..;212;1 542;933;262;16 627
2017;13 685;600;10 626;1 648;573;..;..;238;1 560;961;283;16 489
2018;14 193;668;10 920;1 742;631;..;..;232;1 501;988;269;16 951
2019;14 042;766;10 865;1 607;604;..;..;200;1 467;848;270;16 627
2020;11 690;599;8 837;1 600;512;..;..;142;1 224;601;263;13 778
2021;12 047;623;9 484;1 289;483;..;..;168;1 362;557;267;14 233
2022;12 486;549;9 926;1 326;501;..;..;184;1 222;680;360;14 748
2023;12 169;577;9 387;1 484;542;..;..;179;1 180;684;419;14 452
2024;12 688;604;9 675;1 228;497;133;367;184;1 166;577;256;14 687
